array_area_m2,battery_capacity_wh,robust_corner_passes,failure_mode
0.06543784778396664,30.0,False,solar_deficit
0.06543784778396664,30.0,False,solar_deficit
0.06543784778396664,32.0,False,solar_deficit
0.06543784778396664,32.5,False,solar_deficit
0.06543784778396664,35.0,False,solar_deficit
0.06543784778396664,40.0,False,solar_deficit
0.075,30.0,False,solar_energy_deficit
0.075,30.0,False,solar_energy_deficit
0.075,32.0,False,solar_energy_deficit
0.075,32.5,False,solar_energy_deficit
0.075,35.0,False,solar_energy_deficit
0.075,40.0,False,solar_energy_deficit
0.078,30.0,False,dod_exceeded
0.078,30.0,False,dod_exceeded
0.078,32.0,True,
0.078,32.5,True,
0.078,35.0,True,
0.078,40.0,True,
0.08,30.0,False,dod_exceeded
0.08,30.0,False,dod_exceeded
0.08,32.0,True,
0.08,32.5,True,
0.08,35.0,True,
0.08,40.0,True,
0.085,30.0,False,dod_exceeded
0.085,30.0,False,dod_exceeded
0.085,32.0,True,
0.085,32.5,True,
0.085,35.0,True,
0.085,40.0,True,
0.09,30.0,False,dod_exceeded
0.09,30.0,False,dod_exceeded
0.09,32.0,True,
0.09,32.5,True,
0.09,35.0,True,
0.09,40.0,True,
