array_area_m2,battery_capacity_wh,passed,failure_mode
0.04,15.0,False,solar_deficit
0.04,20.0,False,solar_deficit
0.04,25.0,False,solar_deficit
0.04,30.0,False,solar_deficit
0.04,35.0,False,solar_deficit
0.04,40.0,False,solar_deficit
0.04,45.0,False,solar_deficit
0.05,15.0,False,solar_deficit
0.05,20.0,False,solar_deficit
0.05,25.0,False,solar_deficit
0.05,30.0,False,solar_deficit
0.05,35.0,False,solar_deficit
0.05,40.0,False,solar_deficit
0.05,45.0,False,solar_deficit
0.06,15.0,False,dod_exceeded
0.06,20.0,False,dod_exceeded
0.06,25.0,True,
0.06,30.0,True,
0.06,35.0,True,
0.06,40.0,True,
0.06,45.0,True,
0.07,15.0,False,dod_exceeded
0.07,20.0,False,dod_exceeded
0.07,25.0,True,
0.07,30.0,True,
0.07,35.0,True,
0.07,40.0,True,
0.07,45.0,True,
0.08,15.0,False,dod_exceeded
0.08,20.0,False,dod_exceeded
0.08,25.0,True,
0.08,30.0,True,
0.08,35.0,True,
0.08,40.0,True,
0.08,45.0,True,
0.09,15.0,False,dod_exceeded
0.09,20.0,False,dod_exceeded
0.09,25.0,True,
0.09,30.0,True,
0.09,35.0,True,
0.09,40.0,True,
0.09,45.0,True,
0.1,15.0,False,dod_exceeded
0.1,20.0,False,dod_exceeded
0.1,25.0,True,
0.1,30.0,True,
0.1,35.0,True,
0.1,40.0,True,
0.1,45.0,True,
0.11,15.0,False,dod_exceeded
0.11,20.0,False,dod_exceeded
0.11,25.0,True,
0.11,30.0,True,
0.11,35.0,True,
0.11,40.0,True,
0.11,45.0,True,
